,topic,topic_information,score
0,TSX Company Manual,"Types of Security Based Compensation Arrangements (b) For the purposes of this Section 613, security based compensation arrangements include;i) stock option plans for the benefit of employees, insiders, service providers or any one of such groups;ii) individual stock options granted to employees, service providers or insiders if not granted pursuant to a plan previously approved by the listed issuer's security holders;iii) stock purchase plans where the listed issuer provides financial assistance or where the listed issuer matches the whole or a portion of the securities being purchased;iv) stock appreciation rights involving issuances of securities from treasury;v) any other compensation or incentive mechanism involving the issuance or potential issuances of securities of the listed issuer; andvi) security purchases from treasury by an employee, insider or service provider which is financially assisted by the listed issuer by any means whatsoever.For greater certainty, arrangements which do not involve the issuance from treasury or potential issuance from treasury of securities of the listed issuer are not security based compensation arrangements for the purposes of this Section 613. For the purposes of Section 613, a 'service provider' is a person or company engaged by the listed issuer to provide services for an initial, renewable or extended period of twelve months or more. ",0.023321066051721573
1,National Instrument 54-101 Communication with Beneficial Owners of Securities of a Reporting Issuer,2.13 Fee for Search - A reporting issuer shall pay a fee to a proximate intermediary for furnishing the information requested in a request for beneficial ownership information made by the reporting issuer.,0.2542160153388977
2,National Instrument 51-102 Continuous Disclosure Obligations,"9.1.1 Notice-and-Access(1) A person or company soliciting proxies may use notice-and-access to send proxy- related materials to a registered holder of voting securities of a reporting issuer if all of the following apply: (a) the registered holder of voting securities is sent a notice that contains the following information and no other information:(i)  the date, time and location of the reporting issuer's meeting for which the proxy-related materials are being sent; (ii)  a description of each matter or group of related matters identified in the form of proxy to be voted on, unless that information is already included in a form of proxy that is being sent to the registered holder of voting securities under paragraph (b);(iii)  the website addresses for SEDAR and the non-SEDAR website where the proxy-related materials are posted;(iv)  a reminder to review the information circular before voting;(v)  an explanation of how to obtain a paper copy of the information circular and, if applicable, the documents in paragraph (2)(b) from the person or company; (vi)  a plain-language explanation of notice-and-access that includes the following information: (A)  if the person or company is using stratification, a list of the types of registered holders or beneficial owners who will receive paper copies of the information circular and, if applicable, the documents in paragraph (2)(b); (B)  the estimated date and time by which a request for a paper copy of the information circular and, if applicable, the documents in paragraph (2)(b), is to be received in order for the requester to receive the paper copy in advance of any deadline for the submission of the proxy and the date of the meeting;(C)  an explanation of how the registered holder is to return the proxy, including any deadline for return of the proxy; (D)  the sections of the information circular where disclosure regarding each matter or group of related matters identified in the notice can be found; (E)  a toll-free telephone number the registered holder can call to get information about notice-and-access; (b) the registered holder of voting securities is sent, by prepaid mail, courier or the equivalent, the notice required by paragraph (a) and a form of proxy for use at the meeting and, in the case of a solicitation by or on behalf of management of the reporting issuer, the notice and form of proxy are sent at least 30 days before the date of the meeting; (c) in the case of a solicitation by or on behalf of management of the reporting issuer, the reporting issuer files on SEDAR the notification of meeting and record dates in the manner and within the time specified by NI 54-101; (d) public electronic access to the information circular, form of proxy and the notice in paragraph (a) is provided on or before the date that the person or company soliciting proxies sends the notice in paragraph (a) to registered holders in the following manner:(i)  the documents are filed on SEDAR as required by section 9.3;(ii)  the documents are posted until the date that is one year from the date that the documents are posted, on a website other than the website for SEDAR; (e) a toll-free telephone number is provided for use by the registered holder of voting securities to request a paper copy of the information circular and, if applicable, the documents in paragraph (2)(b), at any time from the date that the person or company soliciting proxies sends the notice in paragraph (a) to the registered holder up to and including the date of the meeting, including any adjournment; (f) if a request for a paper copy of the information circular and, if applicable, the documents in paragraph (2)(b), is received at the toll-free telephone number provided under paragraph (e) or by any other means, a paper copy of any such document requested is sent free of charge by the person or company soliciting proxies to the requester at the address specified in the request in the following manner:(i)  in the case of a request received prior to the date of the meeting, within 3 business days after receiving the request, by first class mail, courier or the equivalent; (ii)  in the case of a request received on or after the date of the meeting, and within one year of the information circular being filed, within 10 calendar days after receiving the request, by prepaid mail, courier or the equivalent.(2) Unless an information circular is included with the proxy-related materials, a reporting issuer that sends proxy-related materials to a registered holder of voting securities using notice-and-access must not include with the proxy-related materials any information or document that relates to the particulars of any matter to be submitted to the meeting, except for the following: (a) the information required to be included in the notice under paragraph (1)(a); (b) financial statements of the reporting issuer to be approved at the meeting and MD&A related to those financial statements, which may be part of an annual report.(3) A notice under paragraph (1)(a) and the form of proxy may be combined in a single document.",0.03556319698691368
3,National Instrument 51-102 Continuous Disclosure Obligations,"'form of proxy' means a document containing the information required under section 9.4 that, on completion and execution by or on behalf of a securityholder, becomes a proxy; ",0.18111483752727509
4,National Instrument 51-102 Continuous Disclosure Obligations,"9.3.1 Content of Information Circular (1) Subject to Item 8 of Form 59-102F5, if a reporting issuer is required to send an information circular to a securityholder under paragraph 9.1(2)(a), the issuer must (a)  disclose all compensation paid, payable, awarded, granted, given or otherwise provided, directly or indirectly, by the issuer, or a subsidiary of the issuer, to each NEO and director, in any capacity, including, for greater certainty, all plan and non-plan compensation, direct and indirect pay, remuneration, economic or financial award, reward, benefit, gift or perquisite paid, payable, awarded, granted, given, or otherwise provided to the NEO or director for services provided, directly or indirectly, to the issuer or a subsidiary of the issuer, and (b)  include detail and discussion of the compensation, and the decision-making process relating to compensation, presented in such a way that it provides a reasonable person an understanding of (i)  how decisions about NEO and director compensation are made, (ii)  the compensation paid, made payable, awarded, granted, given or otherwise provided to each NEO and director, and (iii)  how specific NEO and director compensation relates to the overall stewardship and governance of the reporting issuer. (2) The disclosure required under subsection (1) must be provided for the periods set out in and in accordance with Form 59-102F6 Statement of Executive Compensation. (2.2)  The disclosure required under subsection (1) must be filed (a)  not later than 140 days after the end of the issuer's most recently completed financial year, in the case of an issuer other than a venture issuer (3)  For the purposes of this section, 'NEO' and 'plan' have the meaning ascribed to those terms in Form 59-102F6 Statement of Executive Compensation.",0.05325974524021149
5,Form 58-101F1 Corporate Governance Disclosure,"Other Board Committees - If the board has standing committees other than the audit, compensation and nominating committees, identify the committees and describe their function.",0.07468096911907196
6,Form 58-101F1 Corporate Governance Disclosure,"Compensation(a) Describe the process by which the board determines the compensation for the issuer's directors and officers.(b) Disclose whether or not the board has a compensation committee composed entirely of independent directors.  If the board does not have a compensation committee composed entirely of independent directors, describe what steps the board takes to ensure an objective process for determining such compensation.(c) If the board has a compensation committee, describe the responsibilities, powers and operation of the compensation committee.",0.09462649375200272
7,Form 51-102F6 Statement of Executive Compensation,"2.1 Compensation discussion and analysis(1) Describe and explain all significant elements of compensation awarded to, earned by, paid to, or payable to NEOs for the most recently completed financial year. Include the following:(a) the objectives of any compensation program or strategy;(b) what the compensation program is designed to reward;(c) each element of compensation;(d) why the company chooses to pay each element;(e) how the company determines the amount (and, where applicable, the formula) for each element; and(f) how each element of compensation and the company's decisions about that element fit into the company's overall compensation objectives and affect decisions about other elements.(2) If applicable, describe any new actions, decisions or policies that were made after the end of the most recently completed financial year that could affect a reasonable person's understanding of an NEO's compensation for the most recently completed financial year.(3) If applicable, clearly state the benchmark and explain its components, including the companies included in the benchmark group and the selection criteria. (4) If applicable, disclose performance goals or similar conditions that are based on objective, identifiable measures, such as the company's share price or earnings per share. If performance goals or similar conditions are subjective, the company may describe the performance goal or similar condition without providing specific measures. If the company discloses performance goals or similar conditions that are non-GAAP financial measures, explain how the company calculates these performance goals or similar conditions from its financial statements.Exemption The company is not required to disclose performance goals or similar conditions in respect of specific quantitative or qualitative performance-related factors if a reasonable person would consider that disclosing them would seriously prejudice the company's interests.For the purposes of this exemption, a company's interests are not considered to be seriously prejudiced solely by disclosing performance goals or similar conditions if those goals or conditions are based on broad corporate-level financial performance metrics which include earnings per share, revenue growth, and earnings before interest, taxes, depreciation and amortization. This exemption does not apply if it has publicly disclosed the performance goals or similar conditions.If the company is relying on this exemption, state this fact and explain why disclosing the performance goals or similar conditions would seriously prejudice the company's interests.If the company does not disclose specific performance goals or similar conditions, state what percentage of the NEO's total compensation relates to this undisclosed information and how difficult it could be for the NEO, or how likely it will be for the company, to achieve the undisclosed performance goal or similar condition.(5) Disclose whether or not the board of directors, or a committee of the board, considered the implications of the risks associated with the company's compensation policies and practices.  If the implications were considered, disclose the following: (a) the extent and nature of the board of directors or committee's role in the risk oversight of the company's compensation policies and practices; (b) any practices the company uses to identify and mitigate compensation policies and practices that could encourage an NEO or individual at a principal business unit or division to take inappropriate or excessive risks;(c) any identified risks arising from the company's compensation policies and practices that are reasonably likely to have a material adverse effect on the company.(6) Disclose whether or not an NEO or director is permitted to purchase financial instruments, including, for greater certainty, prepaid variable forward contracts, equity swaps, collars, or units of exchange funds, that are designed to hedge or offset a decrease in market value of equity securities granted as compensation or held, directly or indirectly, by the NEO or director.Commentary1. The information disclosed under section 2.1 will depend on the facts. Provide enough analysis to allow a reasonable person to understand the disclosure elsewhere in this form. Describe the significant principles underlying policies and explain the decisions relating to compensation provided to an NEO. Disclosure that merely describes the process for determining compensation or compensation already awarded, earned, paid, or payable is not adequate. The information contained in this section should give readers a sense of how compensation is tied to the NEO's performance. Avoid boilerplate language.2.  If the company's process for determining executive compensation is very simple, for example, the company relies solely on board discussion without any formal objectives, criteria and analysis, then make this clear in the discussion.3. If the company used any benchmarking in determining compensation or any element of compensation, include the benchmark group and describe why the benchmark group and selection criteria are considered by the company to be relevant.4. The following are examples of items that will usually be significant elements of disclosure concerning compensation:(a)contractual or non-contractual arrangements, plans, process changes or any other matters that might cause the amounts disclosed for the most recently completed financial year to be misleading if used as an indicator of expected compensation levels in future periods;(b)the process for determining perquisites and personal benefits;(c)policies and decisions about the adjustment or recovery of awards, earnings, payments, or payables if the performance goal or similar condition on which they are based is restated or adjusted to reduce the award, earning, payment, or payable;(d)the basis for selecting events that trigger payment for any arrangement that provides for payment at, following or in connection with any termination or change of control;(e)any waiver or change to any specified performance goal or similar condition to payout for any amount, including whether the waiver or change applied to one or more specified NEOs or to all compensation subject to the performance goal or similar condition;(f)whether the board of directors can exercise a discretion, either to award compensation absent attainment of the relevant performance goal or similar condition or to reduce or increase the size of any award or payout, including if they exercised discretion and whether it applied to one or more named executive officers;(g)whether the company will be making any significant changes to its compensation policies and practices in the next financial year;(h)the role of executive officers in determining executive compensation; and(i)performance goals or similar conditions in respect of specific quantitative or qualitative performance-related factors for NEOs.5. The following are examples of situations that could potentially encourage an executive officer to expose the company to inappropriate or excessive risks:(a) compensation policies and practices at a principal business unit of the company or a subsidiary of the company that are structured significantly differently than others within the company;(b)compensation policies and practices for certain executive officers that are structured significantly differently than other executive officers within the company;  (c) compensation policies and practices that do not include effective risk management and regulatory compliance as part of the performance metrics used in determining compensation;(d) compensation policies and practices where the compensation expense to executive officers is a significant percentage of the company's revenue;(e) compensation policies and practices that vary significantly from the overall compensation structure of the company; (f) compensation policies and practices where incentive plan awards are awarded upon accomplishment of a task while the risk to the company from that task extends over a significantly longer period of time;(g) compensation policies and practices that contain performance goals or similar conditions that are heavily weighed to short-term rather than long-term objectives; (h) incentive plan awards that do not provide a maximum benefit or payout limit to executive officers. The examples above are not exhaustive and the situations to consider will vary depending upon the nature of the company's business and the company's compensation policies and practices.",0.058306895196437836
8,Form 51-102F6 Statement of Executive Compensation,"3.1 Summary compensation table  Commentary Under subsection (1), a company is not required to disclose comparative period disclosure in accordance with the requirements of either Form 51-102F6 Statement of Executive Compensation, which came into force on March 30, 2004, as amended, or this form, in respect of a financial year ending before December 31, 2008. (2) In column (c), include the dollar value of cash and non-cash base salary an NEO earned during a financial year covered in the table (a covered financial year). If the company cannot calculate the amount of salary earned in a financial year, disclose this in a footnote, along with the reason why it cannot be determined. Restate the salary figure the next time the company prepares this form, and explain what portion of the restated figure represents an amount that the company could not previously calculate.  (3) In column (d), disclose the dollar amount based on the fair value of the award on the grant date for a covered financial year.  (4) In column (e), disclose the dollar amount based on the fair value of the award on the grant date for a covered financial year. Include option-based awards both with or without tandem share appreciation rights.  (5) For an award disclosed in column (d) or (e), in a narrative after the table, (a) describe the methodology used to calculate the fair value of the award on the grant date, disclose the key assumptions and estimates used for each calculation, and explain why the company chose that methodology, and(b) if the fair value of the award on the grant date is different from the fair value determined in accordance with IFRS 2 Share-based Payment (accounting fair value), state the amount of the difference and explain the reasons for the difference. Commentary1. This commentary applies to subsections (3), (4) and (5). 2.  The value disclosed in columns (d) and (e) of the summary compensation table should reflect what the company paid, made payable, awarded, granted, gave or otherwise provided as compensation on the grant date (fair value of the award) as set out in comment 3, below. This value might differ from the value reported in the issuer's financial statements.  3.  While compensation practices vary, there are generally two approaches that boards of directors use when setting compensation. A board of directors may decide the value in securities of the company to be awarded or paid as compensation. Alternatively, a board of directors may decide the portion of the potential ownership of the company to be transferred as compensation. A fair value ascribed to the award will normally result from these approaches. A company may calculate this value either in accordance with a valuation methodology identified in IFRS 2 Share-based Payment or in accordance with another methodology set out in comment 5 below. 4. In some cases, the fair value of the award disclosed in columns (d) and (e) might differ from the accounting fair value. For financial statement purposes, the accounting fair value amount is amortized over the service period to obtain an accounting cost (accounting compensation expense), adjusted at year end as required.5. While the most commonly used methodologies for calculating the value of most types of awards are the Black-Scholes-Merton model and the binomial lattice model, companies may choose to use another valuation methodology if it produces a more meaningful and reasonable estimate of fair value. 6. The summary compensation table requires disclosure of an amount even if the accounting compensation expense is zero. The amount disclosed in the table should reflect the fair value of the award following the principles described under comments 2 and 3, above. 7. Column (d) includes common shares, restricted shares, restricted share units, deferred share units, phantom shares, phantom share units, common share equivalent units, stock, and similar instruments that do not have option-like features.  (6) In column (e), include the incremental fair value if, at any time during the covered financial year, the company has adjusted, amended, cancelled, replaced or significantly modified the exercise price of options previously awarded to, earned by, paid to, or payable to, an NEO. The repricing or modification date must be determined in accordance with IFRS 2 Share-based Payment. The methodology used to calculate the incremental fair value must be the same methodology used to calculate the initial grant. This requirement does not apply to any repricing that equally affects all holders of the class of securities underlying the options and that occurs through a pre-existing formula or mechanism in the plan or award that results in the periodic adjustment of the option exercise or base price, an antidilution provision in a plan or award, or a recapitalization or similar transaction. (7) nclude a footnote to the table quantifying the incremental fair value of any adjusted, amended, cancelled, replaced or significantly modified options that are included in the table. (8) In column (f), include the dollar value of all amounts earned for services performed during the covered financial year that are related to awards under non-equity incentive plans and all earnings on any such outstanding awards.(a) If the relevant performance goal or similar condition was satisfied during a covered financial year (including for a single year in a plan with a multi-year performance goal or similar condition), report the amounts earned for that financial year, even if they are payable at a later date. The company is not required to report these amounts again in the summary compensation table when they are actually paid to an NEO. (b) Include a footnote describing and quantifying all amounts earned on non-equity incentive plan compensation, whether they were paid during the financial year, were payable but deferred at the election of an NEO, or are payable by their terms at a later date. (c) Include any discretionary cash awards, earnings, payments, or payables that were not based on pre-determined performance goals or similar conditions that were communicated to an NEO. Report any performance-based plan awards that include pre-determined performance goals or similar conditions in column (f). (d) In column (f1), include annual non-equity incentive plan compensation, such as bonuses and discretionary amounts. For column (f1), annual non-equity incentive plan compensation relates only to a single financial year. In column (f2), include all non-equity incentive plan compensation related to a period longer than one year. (9) In column (g), include all compensation relating to defined benefit or defined contribution plans. These include service costs and other compensatory items such as plan changes and earnings that are different from the estimated earnings for defined benefit plans and above-market earnings for defined contribution plans.  This disclosure relates to all plans that provide for the payment of pension plan benefits. Use the same amounts included in column (e) of the defined benefit plan table required by Item 5 for the covered financial year and the amounts included in column (c) of the defined contribution plan table as required by Item 5 for the covered financial year. (10) In column (h), include all other compensation not reported in any other column of this table. Column (h) must include, but is not limited to: (a) perquisites, including property or other personal benefits provided to an NEO that are not generally available to all employees, and that in aggregate are worth $50,000 or more, or are worth 10% or more of an NEO's total salary for the financial year. Value these items on the basis of the aggregate incremental cost to the company and its subsidiaries. Describe in a footnote the methodology used for computing the aggregate incremental cost to the company. State the type and amount of each perquisite the value of which exceeds 25% of the total value of perquisites reported for an NEO in a footnote to the table. Provide the footnote information for the most recently completed financial year only;(b) other post-retirement benefits such as health insurance or life insurance after retirement; (c) all 'gross-ups' or other amounts reimbursed during the covered financial year for the payment of taxes; (d) the incremental payments, payables, and benefits to an NEO that are triggered by, or result from, a scenario listed in section 6.1 that occurred before the end of the covered financial year; (e) the dollar value of any insurance premiums paid or payable by, or on behalf of, the company during the covered financial year for personal insurance for an NEO if the estate of the NEO is the beneficiary;(f) the dollar value of any dividends or other earnings paid or payable on share-based or option-based awards that were not factored into the fair value of the award on the grant date required to be reported in columns (d) and (e); (g) any compensation cost for any security that the NEO bought from the company or its subsidiaries at a discount from the market price of the security (through deferral of salary, bonus or otherwise). Calculate this cost at the date of purchase and in accordance with IFRS 2 Share-based Payment; and (h) above-market or preferential earnings on compensation that is deferred on a basis that is not tax exempt other than for defined contribution plans covered in the defined contribution plan table in Item 5. Above-market or preferential applies to non-registered plans and means a rate greater than the rate ordinarily paid by the company or its subsidiary on securities or other obligations having the same or similar features issued to third parties. (i) any company contribution to a personal savings plan like a registered retirement savings plan made on behalf of the NEO. Commentary 1. Generally, there will be no incremental payments, payables, and benefits that are triggered by, or result from, a scenario described in section 6.1 that occurred before the end of a covered financial year for compensation that has been reported in the summary compensation table for the most recently completed financial year or for a financial year before the most recently completed financial year.  If the vesting or payout of the previously reported compensation is accelerated, or a performance goal or similar condition in respect of the previously reported compensation is waived, as a result of a scenario described in section 6.1, the incremental payments, payables, and benefits should include the value of the accelerated benefit or of the waiver of the performance goal or similar condition. 2. Generally, an item is not a perquisite if it is integrally and directly related to the performance of an executive officer's duties. If something is necessary for a person to do his or her job, it is integrally and directly related to the job and is not a perquisite, even if it also provides some amount of personal benefit. If the company concludes that an item is not integrally and directly related to performing the job, it may be a perquisite if the item provides an NEO with any direct or indirect personal benefit. If it does provide a personal benefit, the item is a perquisite, whether or not it is provided for a business reason or for the company's convenience, unless it is generally available on a non-discriminatory basis to all employees. Companies must conduct their own analysis of whether a particular item is a perquisite. The following are examples of things that are often considered perquisites or personal benefits. This list is not exhaustive:(a)Cars, car lease and car allowance;(b)Corporate aircraft or personal travel financed by the company;(c)Jewellery;(d)Clothing;(e)Artwork;(f)Housekeeping services;(g)Club membership;(h)Theatre tickets;(i)Financial assistance to provide education to children of executive officers;(j)Parking;(k)Personal financial or tax advice;(l)Security at personal residence or during personal travel; and(m)Reimbursements of taxes owed with respect to perquisites or other personal benefit.(11) n column (i), include the dollar value of total compensation for the covered financial year. For each NEO, this is the sum of the amounts reported in columns (c) through (h).(12)  Any deferred amounts must be included in the appropriate column for the covered financial year in which they are earned.(13) If an NEO elected to exchange any compensation awarded to, earned by, paid to, or payable to the NEO in a covered financial year under a program that allows the NEO to receive awards, earnings, payments, or payables in another form, the compensation the NEO elected to exchange must be reported as compensation in the column appropriate for the form of compensation exchanged: Do not report it in the form in which it was or will be received by the NEO. State in a footnote the form of awards, earnings, payments, or payables substituted for the compensation the NEO elected to exchange.",0.08181138336658478
9,Form 51-102F6 Statement of Executive Compensation,"7.3 Share-based awards, option-based awards and non-equity incentive plan compensation Provide the same disclosure for directors that is required under Item 4 for NEOs.",0.08494290709495544
10,Form 51-102F6 Statement of Executive Compensation,"7.2 Narrative discussion  Describe and explain any factors necessary to understand the director compensation disclosed in section 7.1.Commentary Significant factors described in the narrative required by section 7.2 will vary, but may include:(a)disclosure for each director who served in that capacity for any part of the most recently completed financial year;(b)standard compensation arrangements, such as fees for retainer, committee service, service as chair of the board or a committee, and meeting attendance;(c)any compensation arrangements for a director that are different from the standard arrangements, including the name of the director and a description of the terms of the arrangement; and (d)any matters discussed in the compensation discussion and analysis that do not apply to directors in the same way that they apply to NEOs such as practices for granting option-based awards.",0.06170248985290527
11,Form 51-102F6 Statement of Executive Compensation,"7.1 Director compensation table(1) Complete this table for all amounts of compensation provided to the directors for the company's most recently completed financial year.(2)  All forms of compensation must be included in this table. (3) Complete each column in the manner required for the corresponding column in the summary compensation table in section 3.1, in accordance with the requirements of Item 3, as supplemented by the commentary to Item 3, except as follows:(a) In column (a), do not include a director who is also an NEO if his or her compensation for service as a director is fully reflected in the summary compensation table and elsewhere in this form. If an NEO is also a director who receives compensation for his or her services as a director, reflect the director compensation in the summary compensation table required by section 3.1 and provide a footnote to this table indicating that the relevant disclosure has been provided under section 3.4.(b) In column (b), include all fees awarded, earned, paid, or payable in cash for services as a director, including annual retainer fees, committee, chair, and meeting fees. (c) In column (g), include all compensation paid, payable, awarded, granted, given, or otherwise provided, directly or indirectly, by the company, or a subsidiary of the company, to a director in any capacity, under any other arrangement. This includes, for greater certainty, all plan and non-plan compensation, direct and indirect pay, remuneration, economic or financial award, reward, benefit, gift or perquisite paid, payable, awarded, granted, given, or otherwise provided to the director for services provided, directly or indirectly, to the company or a subsidiary of the company. In a footnote to the table, disclose these amounts and describe the nature of the services provided by the director that are associated with these amounts. (d) In column (g), include programs where the company agrees to make donations to one or more charitable institutions in a director's name, payable currently or upon a designated event such as the retirement or death of the director. Include a footnote to the table disclosing the total dollar amount payable under the program.",0.11679594963788986
